name,sector,url,city
MO CREDIT MANAGEMENT PLATFORM,Asociado,https://www.wearemo.com,
VALCREDIT,Asociado,https://www.valcredit.co,
TUMIPAY,Pagos Digitales,https://www.tumipay.co,
VECI,Otro,https://www.soyveci.com,
SIMETRIK SAS,Asociado,https://www.simetrik.com,
QUIPU,Asociado,https://www.quipu.com.co,
NEQUI,Asociado,https://www.nequi.com.co,
MONET - CRÉDITO PARA TODOS,Crédito Digital,https://www.monet.com.co,
BANCO ITAÚ,Banco,https://www.itau.co,
IRIS NEOFINANCIERA,Afiliado,https://www.iris.com.co,
INTERACTUAR,Afiliado,https://www.interactuar.org.co ,
CREDIWEB,Crédito Digital,https://www.crediweb.com.co,
COBRE,Finanzas Empresariales,https://www.cobre.co,
YA DINERO,Asociado,https://yadinero.co/,
DELOITTE & TOUCHE,Afiliado,https://www2.deloitte.com/co/es.html,
ZULU,Crypto & Blockchain,https://www.zulutransfer.com/,
ZONA PAGOS,Pagos Digitales,https://www.zonapagos.com/,
YA GANASTE,Pagos Digitales,https://www.yaganaste.com/co/,
YUNO,Asociado,https://www.y.uno/,
XISFO FINTECH,Asociado,https://www.xisfo.co/,
WALLIB SAS,PFM & Wealthtech,https://www.wallib.com,
VOZY,Afiliado,https://www.vozy.co/,
VISA,Afiliado,https://www.visa.com.co/,
VERITRAN,Afiliado,https://www.veritran.com/?lang=es,
VALIU,Asociado,https://www.valiu.com,
VAKI,Asociado,https://www.vaki.co,
UFLOW DECISION ENGINE,Empresas de Consultoría,https://www.uflow.biz,
UBANKU,Neobancos,https://www.ubanku.co/,
UALÁ,Neobancos,https://www.uala.com.co/,
TYKE,Finanzas Empresariales,https://www.tyke.com.co/,
TUSDATOS.CO,Asociado,https://www.tusdatos.co/,
TU PAGO,Asociado,https://www.tupago.com.co,
TUILY SAS,Finanzas Empresariales,https://www.tuily.com/,
TU COMPRA,Otro,https://www.tucompra.com.co,
TUCANPAY,Pagos Digitales,https://www.tucanpay.com/,
JEEVES,Asociado,https://www.tryjeeves.com,
TREINTA,Asociado,https://www.treinta.co,
TRANSUNION,Afiliado,https://www.transunion.co/industria/fintech,
TERRENTA,Asociado,https://www.terrenta.co,
TELESIGN,Afiliado,https://www.telesign.com/,
SURED,Asociado,https://www.sured.com.co,
SOPHOS SOLUTIONS,Afiliado,https://www.sophossolutions.com,
SISTECRÉDITO,Asociado,https://www.sistecredito.com/,
SILVER APP,Asociado,https://www.silverapp.co/,
SIIGO,Asociado,https://www.siigo.com/,
SHAREPPY INTERNACIONAL,Asociado,https://www.shareppyinternacional.com/,
SEOS ENERGY,Crédito Digital,https://www.seosenergy.co/,
SAQUE Y PAGUE,Afiliado,https://www.saqueypague.com.co,
RISKTECH,Asociado,https://www.risktech.com.co/,
REFÁCIL,Asociado,https://www.refacil.co/,
REDEBAN,Afiliado,https://www.redeban.com/,
RECONOSER ID,Asociado,https://www.reconoserid.com,
RAYO,Asociado,https://www.rayo.com.co/,
QUARTIER,Pagos Digitales,https://www.quartier.com.co/,
PWC,Afiliado,https://www.pwc.com/co/es,
PROVENIR INC,Afiliado,https://www.provenir.com/es/,
LA PREVISORA SA COMPAÑÍA DE SEGUROS,Afiliado,https://www.previsora.gov.co/,
PRESTA EN LINEA,Crédito Digital,https://www.prestaenlinea.com/,
PRACTISISTEMAS,Asociado,https://www.practisistemas.com/,
PLURALL CAPITAL,Crédito Digital,https://www.plurall.com,
OINK,Asociado,https://www.playusmedia.com/,
PIRANI SAS,PFM & Wealthtech,https://www.piranirisk.com/es/,
PAYU,Asociado,https://www.payu.com.co/,
PAYQUBIT,Asociado,https://www.payqubit.com/,
PAYMOVIL,Asociado,https://www.paymovil.com.co,
PAYMENTOLOGY,Afiliado,https://www.paymentology.com/?utm_source=linkedin&utm_medium=social&utm_campaign=profile,
PALOMMA SAS,Pagos Digitales,https://www.palomma.com/,
EFIPAY,Pagos Digitales,https://www.pagosinteligentes.com/,
GRUPO PACTE S.A.S.,Asociado,https://www.pacte.com.co/,
ONELUKA,Crédito Digital,https://www.oneluka.co/,
SKANDIA,Afiliado,https://www.oldmutual.com.co,
NUBLOQ,Asociado,https://www.nubloq.co,
NUBANK,Neobancos,https://www.nu.com.co,
NOVATEC SOLUTIONS,Afiliado,https://www.novatecsolutions.co/,
NOTECUELGUES.COM,Asociado,https://www.notecuelgues.com/,
NORTHWAY,Asociado,https://www.northwayservices.net/,
NEURONA,Pagos Digitales,https://www.neurona.com.co/,
NEQUI,Asociado,https://www.nequi.com.co/,
SU+,Crédito Digital,https://www.mundosumas.com/,
MOVISTAR MONEY,Asociado,https://www.movistarmoney.co/,
MONI,Asociado,https://www.moni.com.co,
MOM SEGUROS,Asociado,https://www.momseguros.com/es,
MILLETE,Asociado,https://www.millete.co,
MICROFOCUS,Afiliado,https://www.microfocus.com,
MICROACTIVOS,Crédito Digital,https://www.microactivos.com/,
METAMAP,Asociado,https://www.metamap.com/,
MESFIX,Asociado,https://www.mesfix.com/,
MERCADO PAGO,Asociado,https://www.mercadopago.com.co,
ME PRESTA ONLINE,Asociado,https://www.meprestaonline.com,
MASTERCARD,Afiliado,https://www.mastercard.com.co,
MAREIGUA,Asociado,https://www.mareigua.co,
LULO BANK,Asociado,https://www.lulobank.com/,
LOOPAY,Asociado,https://www.loopay.com/,
LLORENTE & CUENCA,Afiliado,https://www.llyc.global/,
LLEIDA,Afiliado,https://www.lleida.net/co,
LITTIO,Crypto & Blockchain,https://www.littio.co/,
LISIM INTERNACIONAL S.A.S.,Fintech,https://www.lisim.com/,
LIQUITTY,Asociado,https://www.liquitty.com/,
COPLIQUIDO,Asociado,https://www.liquido.com/es,
LINERU,Asociado,https://www.lineru.com/,
LIBERTEC,Crédito Digital,https://www.libertec.co,
LEXIS NEXIS,Proveedores de Software,https://www.lexisnexis.com,
KUPI,Asociado,https://www.kupi.com.co/,
KILL B,Asociado,https://www.killb.com/,
KAPITAL,Asociado,https://www.kapital.cc/,
KANDEO,Afiliado,https://www.kandeofund.com,
JUMIO,Afiliado,https://www.jumio.com/es/,
JARAMILLO VILLAMIZAR SAS,Afiliado,https://www.jaramillovillamizar.com/,
IPROVEEDOR,Asociado,https://www.iproveedor.com,
IONIX SPA,Afiliado,https://www.ionix.cl/,
INTEXUSLA,Afiliado,https://www.intexus.la,
INKOMS,Asociado,https://www.inkoms.com/,
INFOBIP,Afiliado,https://www.infobip.com,
IDENTICA SA,Afiliado,https://www.identica-sa.com/,
HID,Afiliado,https://www.hidglobal.com,
HEINSOHN,Afiliado,https://www.heinsohn.com.co/,
HACKMETRIX,Empresas de Consultoría,https://www.hackmetrix.com/,
GSE,Afiliado,https://www.gse.com.co,
R5,Insuretech,https://www.grupor5.com,
TRÉBOL,Asociado,https://www.gotrebol.com/,
GLOBAL PROCESSING,Pagos Digitales,https://www.globalprocessing.com/,
GINKO FINANCIAL SOLUTIONS,Afiliado,https://www.ginkofs.com,
GIESECKE & DEVRIENT SUCURSAL COLOMBIA (G+D),Otro,https://www.gi-de.com/es/co/,
GEOPAGOS,Afiliado,https://www.geopagos.com/,
GDS MODELLICA SL,Afiliado,https://www.gdslink.com/es/,
GALILEA,Crédito Digital,https://www.galilea.co/,
FINMAQ,Crédito Digital,https://www.fsm.com.co/,
FNG,Afiliado,https://www.fng.gov.co,
FLOID SAS,Regtech,https://www.floid.ai/,
FLEXIBILITY,Asociado,https://www.flexibility.com.ar/,
FLEXFINTECH,Finanzas Empresariales,https://www.flexfintech.co/,
FIS GLOBAL,Pagos Digitales,https://www.fisglobal.com/,
FISERV,Afiliado,https://www.fiserv.com/,
FISAPAY,Asociado,https://www.fisapay.com/,
FINTEGRA,Asociado,https://www.fintegra.co/,
FINSU SAS,Crédito Digital,https://www.finsu.co/home,
FINKY,Asociado,https://www.finky.la,
FINEXUS,Asociado,https://www.finexus.com.co/,
FINEWAPP,Asociado,https://www.finewapp.com ,
FINDORSE,Afiliado,https://www.findorse.co/,
FINCREDEX,Crédito Digital,https://www.fincredex.com/,
FINAKTIVA,Crédito Digital,https://www.finaktiva.com/,
FIDUOCCIDENTE,Afiliado,https://www.fiduoccidente.com,
FGA FONDO DE GARANTIAS,Afiliado,https://www.fga.com.co/,
EXPONENCIAL CONFIRMING,Asociado,https://www.exponencialconfirming.com/,
EVERTEC,Afiliado,https://www.evertecinc.com/,
EPIK ASOCIADOS,Asociado,https://www.epik.com.co/,
ENBANCA,Asociado,https://www.enbanca.co,
EFISYS,Proveedores de Software,https://www.efisys.com.mx/colombia/,
ECOLLECT,Asociado,https://www.ecollect.co,
EBANX,Pagos Digitales,https://www.ebanx.com/co/conoce-ebanx/,
DLOCAL,Asociado,https://www.dlocal.com,
DIBANKA,Asociado,https://www.dibanka.co,
DATACREDITO EXPERIAN,Afiliado,https://www.datacredito.com.co,
DANDO,Asociado,https://www.dando.co/es,
DALE!,Afiliado,https://www.dale.com.co,
CVN RESEARCH,Afiliado,https://www.cvn.com.co/,
CUYCLI,Asociado,https://www.cuycli.com,
MONO COLOMBIA SAS,PFM & Wealthtech,https://www.cuentamono.com,
CUATRECASAS COLOMBIA,Afiliado,https://www.cuatrecasas.com,
CRYPTOMKT,Asociado,https://www.cryptomkt.com/es/,
CREDIVALORES,Afiliado,https://www.credivalores.com.co/,
CRÉDITOS ORBE,Crédito Digital,https://www.crediorbe.com/,
CREDICORP CAPITAL,Afiliado,https://www.credicorpcapital.com/Paginas/NHome.aspx,
CREDIBANCO,Afiliado,https://www.credibanco.com/,
CORFICOLOMBIANA,Afiliado,https://www.corficolombiana.com,
COPILOTO,Pagos Digitales,https://www.copilotocolombia.com/,
COOPHUMANA,Afiliado,https://www.coophumana.org,
COMFAMA,Afiliado,https://www.comfama.com.co,
COLSUBSIDIO,Afiliado,https://www.colsubsidio.com/,
COLMENA SEGUROS,Afiliado,https://www.colmenaseguros.com,
COLFIMAX FACTORING,Asociado,https://www.colfimaxfactoring.com,
COFINANCER,Asociado,https://www.cofinancer.co,
COBRU,Asociado,https://www.cobru.co/,
CLOUD SEGURO,Proveedores de Software,https://www.cloudseguro.co/,
CLARA,Crédito Digital,https://www.clara.com.mx/,
CITIBANK,Afiliado,https://www.citibank.com/icg/sa/latam/colombia,
ORANGE TECH,Asociado,https://www.ciorange.com.co,
CHUBB SEGUROS COLOMBIA S.A,Insurtech,https://www.chubb.com/co-es/home.html,
CASTIA,Pagos Digitales,https://www.castia.com/,
CARTERAS COLECTIVAS,Asociado,https://www.carterascolectivas.co,
CACAO PAYCARD,Afiliado,https://www.cacaopaycard.com,
BUDA,Asociado,https://www.buda.com,
BOLD,Asociado,https://www.bold.co,
BIOCREDIT,Asociado,https://www.bio.credit/,
BINANCE COLOMBIA SAS,Asociado,https://www.binance.com/es,
BERIBLOCK,Asociado,https://www.beriblock.com,
BEMUS,Asociado,https://www.bemus.com.co,
BE MÓVIL,Pagos Digitales,https://www.bemovil.net/,
BECOME DIGITAL,Regtech,https://www.becomedigital.net,
IC PAYMENT,Afiliado,https://www.be-ys-pay.com/en/,
BAYPORT,Crédito Digital,https://www.bayportcolombia.com/,
BANKAMODA,Asociado,https://www.bankamoda.com,
BANCUPO,Asociado,https://www.bancupo.com/,
BANCO W,Entidades Financieras,https://www.bancow.com.co/,
BANCOLOMBIA,Entidades Financieras,https://www.bancolombia.com/personas,
BANCOLDEX,Afiliado,https://www.bancoldex.com,
BANCO FINANDINA,Afiliado,https://www.bancofinandina.com/,
BANCO DE BOGOTÁ,Afiliado,https://www.bancodebogota.com,
BANCO AGRARIO,Afiliado,https://www.bancoagrario.gov.co/,
BANCAMÍA,Afiliado,https://www.bancamia.com.co,
AVISTA,Asociado,https://www.avista.co,
AMERICAN SMART SYSTEMS & NETWORKS - ASNET,Proveedores de Software,https://www.asnetla.com,
APORTES EN LÍNEA,Afiliado,https://www.aportesenlinea.com/Home/home.aspx?ReturnUrl=%2f,
AMERICAN EXPRESS,Afiliado,https://www.americanexpress.com/,
ALPHA CREDIT,Asociado,https://www.alphacredit.co,
ALMI,Crédito Digital,https://www.almifinanciera.co/,
AGRAPP,Asociado,https://www.agrapp.co,
AFLORE,Asociado,https://www.aflore.co,
ADL DIGITAL LAB,Afiliado,https://www.adldigitallab.com/,
ACTIVOS Y FINANZAS,Crédito Digital,https://www.activosyfinanzas.com/,
ACI WORLDWIDE COLOMBIA S A S,Afiliado,https://www.aciworldwide.com,
ACH COLOMBIA,Afiliado,https://www.achcolombia.com.co,
AAVANCE,Pagos Digitales,https://www.aavance.com/,
123 SEGURO,Asociado,https://www.123seguro.com.co,
WOMPI,Pagos Digitales,https://wompi.com/es/co,
CERTICAMARA,Afiliado,https://web.certicamara.com/,
VITA WALLET,Asociado,https://vitawallet.io/,
VALUATY,Afiliado,https://valuaty.com.mx/,
TYBA POR CREDICORP CAPITAL,Asociado,https://tyba.com.co/,
TRU,Otro,https://trugroup.tech/,
TRIBUTI,Asociado,https://tributi.com,
TPAGA,Asociado,https://tpaga.co/,
TAPI,Asociado,https://tapi.la/,
SYNERGYPAY,Pagos Digitales,https://synergypay.co/,
SUPERPAY,Pagos Digitales,https://supergiros.lpages.co/superpay/,
SUMUP,Pagos Digitales,https://sumup.co/,
SUEÑOS,Asociado,https://suenos.co/,
SOYYO,Asociado,https://soyyo.co,
ZIRO,Crédito Digital,https://somosziro.com/,
PLENTI,Crypto & Blockchain,https://somosplenti.com/,
PINGÜINO,Asociado,https://somospagos.com/,
SEGURO CANGURO,Asociado,https://segurocanguro.com/,
RIPPLE,Afiliado,https://ripple.com,
RENTEK,Asociado,https://rentek.com.co/,
RED 5G,Afiliado,https://red5g.co/,
RECAUDIA,Asociado,https://recaudia.com/nebula,
R2,Crédito Digital,https://r2.co/,
QUALITA CORP S.A.S,Regtech,https://qualitacorp.com/,
QNT,Asociado,https://qnt.com.co/,
QIIP,PFM & Wealthtech,https://qiip.com.co/,
PROMETEO,Finanzas Empresariales,https://prometeoapi.com/,
PRESTANZA,Asociado,https://prestanza.com/,
PRESTAGENTE,Asociado,https://prestagente.com/,
POWWI,Asociado,https://powwi.co/,
FUNDACIÓN DELAMUJER,Afiliado,https://portales.fundaciondelamujer.com/,
POMELO,Asociado,https://pomelo.la/ar/,
PLINTRON,Afiliado,https://plintron.co,
PHYLO,Regtech,https://phylo.co/,
"POSSE HERRERA RUÍZ, PHR S.A.",Afiliado,https://phrlegal.com/,
PAYVALIDA,Asociado,https://payvalida.com,
PAYRETAILERS,Asociado,https://payretailers.com/es/,
PAYMENTS WAY,Asociado,https://paymentsway.co/,
SIMPLE S.A.,Entidades Financieras,https://pagosimple.com,
PAGAME,Pagos Digitales,https://pagame.com.co/,
OWO TECH,Asociado,https://owo.com.co/,
ONEPAY,Pagos Digitales,https://onepay.ai/,
ONE2CREDIT,Asociado,https://one2credit.com,
OLIMPIA IT S.A.S.,Afiliado,https://olimpiait.com/,
NOVAFIANZA,Crédito Digital,https://novafianza.com/,
NIBI,Crowdfunding,https://nibi.com.co/,
INTERAXA,Afiliado,https://mutant.com.br/es/home-espanol/,
MULTIPRESTAMO,Crédito Digital,https://multiprestamo.com/,
MOVILSERVICIOS,Asociado,https://movilservicios.com.co/,
MILIO,Asociado,https://milio.com.co/,
LYRA,Asociado,https://lyra.com/la/,
LINXE,Asociado,https://linxe.com/web/index.html,
LET´S BIT,Asociado,https://letsbit.io/,
KRAVATA,Asociado,https://kravata.co/,
KOYWE,Afiliado,https://koywe.com/es,
KOIBANX,Crypto & Blockchain,https://koibanx.com,
KLYM,Asociado,https://klym.com/co/,
KIBAN,Proveedores de Software,https://kiban.mx/,
KALA,Regtech,https://kala.tech/,
K2 PARTNERING SOLUTIONS S A S,Afiliado,https://k2partnering.com/,
INVERTI,Asociado,https://inverti.co/,
PAGSEGURO,Pagos Digitales,https://international.pagseguro.com/,
"INCODE TECHNOLOGIES, INC",Afiliado,https://incode.com/,
KPMG COLOMBIA,Empresas de Consultoría,https://home.kpmg/co/es/home.html,
GLIKR S.A.S.,Asociado,https://glikr.com/,
VAAS,Regtech,https://getvaas.com/,
GLIM,Neobancos,https://getglim.com/,
GASES DEL CARIBE,Afiliado,https://gascaribe.com/,
FPAY,Asociado,https://fpay.cl/,
FLYPASS,Asociado,https://flypass.com.co/,
FINESA S.A (FINANPRIMAS),PFM & Wealthtech,https://finesa.com.co/finanprimas-virtual/,
FINERIO,Asociado,https://finerioconnect.com/,
FINANCAP,Crédito Digital,https://financap.com,
FINAMCO,Finanzas Empresariales,https://finamco.co/,
FIE,Asociado,https://fie.com.co,
FONDO DE GARANTÍAS S.A. CONFÉ,Afiliado,https://fgconfe.com/,
EXCELCREDIT,Asociado,https://excelcredit.co/,
EPAYCO,Asociado,https://epayco.co,
EMONKEY,Asociado,https://emonkey.com.co/,
CRÉDITOS QUICK,Asociado,https://duna.com.co,
DIRECT TRADING TECHNOLOGIES,Afiliado,https://dttshares.com/,
DRUO,Asociado,https://druo.com,
DIGITAL CONSULTING GROUP,Afiliado,https://digitalcg.com.co,
DAVIPLATA,Pagos Digitales,https://daviplata.com,
CREZCAMOS,Asociado,https://crezcamos.com/,
CREDITOP COLOMBIA SAS,Asociado,https://creditop.co/,
CREDISEGURO,Asociado,https://crediseguro.co,
CREDINTEGRAL,Afiliado,https://credintegral.com.co/,
CREDI LIKE,Asociado,https://credilike.com.co/,
CREDIJUSTO,Asociado,https://credijusto.com,
CREDIFAMILIA,Afiliado,https://credifamilia.com/,
COMPENSAR,Afiliado,https://corporativo.compensar.com/credito/jovenes?gclid=CjwKCAjw_YShBhAiEiwAMomsELnIk5A1s2E3TBPSwt4SiBl_vuIxCzTH4-8UmI3Gt8qUgTZI7eXrlhoCXdcQAvD_BwE,
COMBOPAY,Asociado,https://combopay.co/,
COLLECT PAY,Asociado,https://collectpay.co/,
COINK,Asociado,https://coink.com/,
BLOOM,Crowdfunding,https://co.inversionesbloom.com/,
ADDI,Crédito Digital,https://co.addi.com/,
CERTIKA,Afiliado,https://certika.co/,
CELYA,Pagos Digitales,https://celya.co,
CARGAYA,Asociado,https://cargaya.com/,
POCKI,Pagos Digitales,https://capitalpocket.app/,
CANNVEST,Asociado,https://cannvest.co,
BRIGARD & URRUTIA ABOGADOS,Afiliado,https://bu.com.co/es,
GO BRAVO,Asociado,https://bravocredito.co/,
BITSO,Proveedores de Software,https://bitso.com/,
BITPOINT,Crypto & Blockchain,https://bitpointlatam.com/,
BEMOBI,Afiliado,https://bemobi.com/,
BELVO,Proveedores de Software,https://belvo.com,
BANCO SERFINANZA,Afiliado,https://bancoserfinanza.com,
BANCA DE INVERSIONES DE OCCIDENTE,Asociado,https://bancadeinversiondeoccidente.com/,
AVANZO,Asociado,https://avanzo.co/,
ARMATUVACA.COM,Asociado,https://armatuvaca.com/,
LOAN LINK,Asociado,https://app.loanlink.com.co/,
ANTICIPO,Asociado,https://anticipo.com.co/,
ALPRESTAMO,Asociado,https://alprestamo.com/ar/principal,
ÁLAGA,Crédito Digital,https://alaga.com.co/,
AGRICAPITAL,Asociado,https://agricapital.com.co/,
ADVANCE - ADELANTA TU PAGO,Crédito Digital,https://adelantatupago.com,
ACCIONES Y VALORES,Afiliado,https://accivalores.com,
HOLA PRÉSTAMO,Asociado,https://4toldfintech.com/,
2INNOVATE,Afiliado,https://2innovateit.com/,
PAGOMÁS (SIMILTECH),Asociado,http://wwwpagomas.com.co,
WADANA,Asociado,http://www.wadana.co,
UBUNTEC,Asociado,http://www.ubuntec.net,
TRANSFIRIENDO,Pagos Digitales,http://www.transfiriendo.com/,
TEKBEES,Regtech,http://www.tekbees.com,
TECA,Asociado,http://www.teca.com.co,
TCF GROUP,Otro,http://www.tcf.com.co,
MAKERS SOLUTIONS,Asociado,http://www.somosmakers.co/,
SEMPLI,Asociado,http://www.sempli.co,
RAPICREDIT,Asociado,http://www.rapicredit.com/,
PUNTORED,Asociado,http://www.puntored.co/,
PANDAID,Asociado,http://www.pandaid.com/emision-instantanea/,
OPEN2BANKING,Pagos Digitales,http://www.open2banking.com/,
NUVU,Afiliado,http://www.nuvu.cc,
NIMMOK,Afiliado,http://www.nimmok.com/,
MAMBU,Afiliado,http://www.mambu.com/,
LIQUITECH,Asociado,http://www.liquitech.co,
KUENTA,Asociado,http://www.kuenta.co/,
INVEST LATAM,Asociado,http://www.investlatam.com,
IMIX,Asociado,http://www.imix.com.co/,
GLOBAL 66,Asociado,http://www.global66.com,
FINSOCIAL,Asociado,http://www.finsocial.co,
FACTURAENLINEA.COEBILL,Asociado,http://www.facturaenlinea.co/,
FACTCIL,Asociado,http://www.factcil.com/,
EY COLOMBIA,Afiliado,http://www.ey.com/co/es/home,
DATAINNOVA - IDENTIDAPP.COM - DATARIESGOS.COM - CERTIFICAR.CO,Asociado,http://www.datainnova.co,
VIVE FUTURO,Asociado,http://www.credifile.com,
FONDO DE COBERTURAS CREDITICIAS,Asociado,http://www.coberturascrediticias.com,
AGAVAL,Asociado,http://www.agaval.com/,
TRANQUI,Asociado,http://tranquifinanzas.com,
TOWERTECH,Asociado,http://towertech-americas.webnode.com/,
NOVOPAYMENT,Asociado,http://novopayment.com,
MOVII,Asociado,http://movii.com.co,
MINKA,Asociado,http://minka.io,
KUSHKI,Asociado,http://kushkipagos.com/,
JUANCHO TE PRESTA,Asociado,http://juanchotepresta.com,
GARANTÍAS COMUNITARIAS,Asociado,http://garantiascomunitarias.com,
CONTRATOMARCO,Asociado,http://contratomarco.co,
GRUPO COOMEVA,Afiliado,http://Coomeva.com.co,
AXCES CAPITAL SAS,Finanzas Empresariales,//www.axces.com.co,
SUPRE,Crédito Digital, https://supre.com.co,
SURETI SAS,Asociado,,
BRILLA,Crédito Digital,,
KONCILIA SAS,Afiliado,,
,Finanzas Empresariales,,
BPC COLOMBIA SAS,Afiliado,,
PAYNET SAS,Asociado,,
NEXA BPO,Afiliado,,
UCREDIT SKILLS,Crédito Digital,,
INSWITCH COLOMBIA SAS,Afiliado,,
